Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-08-27,322.070007,325,322,324.339996,287.632568,737500,129
2018-08-28,324.660004,325,322.299988,324.339996,287.632568,820000,130
2018-08-29,324.459991,324.920013,322.200012,324.320007,287.614868,966000,131
2018-08-30,324,326.48999,320.929993,321.850006,285.424408,1409700,132
2018-08-31,318.559998,320.890015,317.01001,320.410004,285.924072,1055500,133
2018-09-04,320,322.25,317.600006,321.910004,287.262695,947400,134
2018-09-05,320.890015,321.670013,319.51001,321.329987,286.745026,892700,135
2018-09-06,321.559998,329.540009,321.299988,328.910004,293.509186,1326600,136
2018-09-07,328.029999,330.880005,326.890015,328.529999,293.170197,1292000,137
2018-09-10,328.720001,329.179993,322.660004,322.950012,288.190796,1424000,138
2018-09-11,322.040009,323.850006,320.299988,322.230011,287.548187,798200,139
2018-09-12,321.380005,325.839996,321.380005,325.279999,290.269928,1326400,140
2018-09-13,326.720001,331.859985,326.589996,331.279999,295.624115,1294800,141
2018-09-14,331.309998,336.5,329.5,335.799988,299.657623,1312000,142
2018-09-17,336.5,339.679993,336,339.339996,302.81662,1117300,143
2018-09-18,340,344.850006,339.480011,343.220001,306.279053,1149100,144
2018-09-19,343.220001,345.769989,336.51001,339.299988,302.780914,1771200,145
2018-09-20,339.859985,340.299988,329.01001,333.130005,297.275055,2003900,146
2018-09-21,334.070007,337.910004,334.070007,337.660004,301.317474,1875700,147
2018-09-24,336.809998,339.320007,334.299988,337.579987,301.246063,1176800,148
2018-09-25,338.480011,345.329987,337.450012,343.540009,306.564606,1360500,149
2018-09-26,343,344.859985,342.390015,342.880005,305.975616,1159900,150
2018-09-27,344.160004,346.790009,342.410004,346.049988,308.804443,1170000,151
2018-09-28,345.720001,348,344.709991,345.959991,308.724121,1827500,152
2018-10-01,347.089996,348.329987,344.869995,347.929993,310.482147,809500,153
2018-10-02,348.619995,349.880005,346.369995,349.070007,311.499451,960500,154
2018-10-03,350,351.350006,347.220001,347.440002,310.044861,1237500,155
2018-10-04,346.820007,349.660004,345.589996,349.459991,311.847382,1203600,156
2018-10-05,348.299988,350.899994,345.649994,347.209991,309.839569,889000,157
2018-10-08,346.890015,350.48999,346.269989,349.929993,312.266815,825100,158
2018-10-09,348.619995,349.459991,346.160004,347.309998,309.928833,986100,159
2018-10-10,346.850006,347.25,336.75,336.75,300.505493,1792500,160
2018-10-11,334.730011,338,325.01001,326.26001,291.14447,1937900,161
2018-10-12,330.589996,331.470001,322.600006,327.619995,292.358032,1294000,162
2018-10-15,327.929993,333.980011,327.929993,331.23999,295.58847,1003600,163
2018-10-16,332.470001,337.399994,331.140015,337.130005,300.844482,860300,164
2018-10-17,335.720001,337.190002,333.320007,333.399994,297.516022,1181700,165
2018-10-18,331.350006,333.320007,325.040009,328,292.697235,1323000,166
2018-10-19,327.200012,330.040009,326.059998,328.140015,292.822113,1101200,167
2018-10-22,331.619995,331.619995,324.470001,326.779999,291.608429,1407700,168
2018-10-23,325.230011,334.769989,315.589996,321.350006,286.76297,2995700,169
2018-10-24,328.109985,328.109985,310.420013,311.130005,277.642883,2396800,170
2018-10-25,313.209991,316.549988,305.450012,306.410004,273.430939,2352500,171
